date_time,Loc1,Loc2,Loc3,Loc4
1/01/2015 10:00,1.82,4.89,2.18,1.85
1/01/2015 11:00,1.96,4.14,1.32,1.54
1/01/2015 12:00,2.5,2.11,1.66,1.69
1/01/2015 13:00,3.58,0.86,1.71,1.54
1/01/2015 14:00,4.92,0.45,1.22,1.21
1/01/2015 15:00,6.69,0.72,0.74,1.71
1/01/2015 16:00,8.18,0.95,0.62,3
1/01/2015 17:00,8.91,1.2,1.02,4.5
1/01/2015 18:00,9.18,1.24,2.06,5.81
1/01/2015 19:00,9.01,0.65,4.56,6.26
1/01/2015 20:00,9.39,1.64,6.52,7.08
1/01/2015 21:00,9.66,3.96,7.94,7.47
1/01/2015 22:00,9.52,6.17,8.09,7.31
1/01/2015 23:00,9.19,6.99,7.45,7.29
2/01/2015 0:00,9.32,6.71,7.13,7.66
2/01/2015 1:00,9.07,6.2,7.21,7.81
2/01/2015 2:00,8.9,6.41,6.95,7.6
2/01/2015 3:00,8.3,6.49,6.76,7.66
2/01/2015 4:00,7.65,6.48,7.27,7.63
2/01/2015 5:00,6.92,6.71,7.81,7.86
2/01/2015 6:00,7.18,6.82,8.23,8.09
2/01/2015 7:00,8.26,6.54,8.14,8.7
2/01/2015 8:00,9.91,5.78,8.66,9.68
2/01/2015 9:00,9.97,6.99,8.77,8.41
2/01/2015 10:00,10.08,7.77,9.16,8.57
2/01/2015 11:00,10.37,8.21,9.54,9.18
2/01/2015 12:00,11.06,8.27,10.21,10.01
2/01/2015 13:00,10.88,8.03,10.27,10.01
2/01/2015 14:00,10.13,7.28,9.63,9.43
2/01/2015 15:00,8.99,6.73,8.87,8.99
2/01/2015 16:00,7.54,6.61,8.51,8.32
2/01/2015 17:00,6.03,6.6,8.09,6.77
2/01/2015 18:00,5.38,5.8,6.11,3.94
2/01/2015 19:00,4.35,6.42,5.81,2.36
2/01/2015 20:00,2.92,7.87,3.77,3.76
2/01/2015 21:00,1.88,9.33,1.85,1.93
2/01/2015 22:00,2.85,9.97,0.85,2.39
2/01/2015 23:00,3.44,10.54,2.63,4.12
3/01/2015 0:00,4.36,10.87,5.38,5.85
3/01/2015 1:00,5.09,10.88,7.89,7.38
3/01/2015 2:00,5.43,13.32,9.85,8.38
3/01/2015 3:00,6.91,13.05,12.5,9.43
3/01/2015 4:00,7.83,12.28,14.04,11.22
3/01/2015 5:00,6.12,11.58,14.25,11.74
3/01/2015 6:00,4.49,11.01,14.24,11.44
3/01/2015 7:00,3.88,10.04,13.73,9.91
3/01/2015 8:00,2.61,10.89,13.4,4.71
3/01/2015 9:00,1.27,11.56,13.18,4.18
3/01/2015 10:00,1.33,11.86,12.65,5.17
3/01/2015 11:00,1.54,12.19,12.34,6.12
3/01/2015 12:00,3.43,12.74,12.22,6.55
3/01/2015 13:00,8.1,13.3,13.47,8.22
3/01/2015 14:00,11.01,13.23,7.85,2.99
3/01/2015 15:00,9.49,13.82,9.41,7.18
3/01/2015 16:00,5.92,9.56,5.25,6.24
3/01/2015 17:00,3.34,8.31,4.62,7.17
3/01/2015 18:00,2.36,7.26,8.25,4.41
3/01/2015 19:00,1.91,5.91,6.91,4.23
3/01/2015 20:00,0.88,3.98,3.31,0.26
3/01/2015 21:00,3.04,3.18,1.27,3.77
3/01/2015 22:00,6.15,2,5.11,2.58
3/01/2015 23:00,9.86,1.13,4.96,8.14
4/01/2015 0:00,8.11,4.93,8.12,7.84
4/01/2015 1:00,7.84,5.34,8.03,6.21
4/01/2015 2:00,8.87,3.32,7.05,6.13
4/01/2015 3:00,8.57,5.92,6.51,6.61
4/01/2015 4:00,8.29,8.18,6.36,7
4/01/2015 5:00,7.72,7.78,7.58,6.75
4/01/2015 6:00,7.05,7.63,6.94,6.22
4/01/2015 7:00,6.27,7.93,5.95,5.43
4/01/2015 8:00,6.53,8.38,6.09,5.53
4/01/2015 9:00,5.69,7.27,5.12,4.7
4/01/2015 10:00,5.35,6.02,4.94,4.44
4/01/2015 11:00,5.63,4.55,5.03,4.65
4/01/2015 12:00,5.8,3.72,4.64,4.55
4/01/2015 13:00,5.96,3.52,4.23,4.32
4/01/2015 14:00,6.89,3.41,4.29,4.63
4/01/2015 15:00,7.71,3.43,4.4,5.1
4/01/2015 16:00,8.21,3.96,4.56,5.65
4/01/2015 17:00,8.45,5.16,5.06,6.34
4/01/2015 18:00,8.49,7.03,6.08,6.96
4/01/2015 19:00,8.28,8.24,7.29,6.96
4/01/2015 20:00,7.65,8.12,7.03,6.64
4/01/2015 21:00,7.92,7.66,7.21,6.69
4/01/2015 22:00,7.84,7.65,7.15,6.52
4/01/2015 23:00,7.35,7.48,6.58,6.13
5/01/2015 0:00,7.06,7.37,6.26,5.97
5/01/2015 1:00,7,7.3,6.02,5.96
5/01/2015 2:00,6.76,7.5,5.99,5.89
5/01/2015 3:00,6.55,7.6,5.96,5.85
5/01/2015 4:00,6.59,7.65,6.02,6.04
5/01/2015 5:00,6.56,7.44,6.08,5.82
5/01/2015 6:00,6.7,6.86,5.83,5.74
5/01/2015 7:00,6.34,5.36,5.31,4.98
5/01/2015 8:00,5.75,4.94,4.59,4.25
5/01/2015 9:00,6.26,4.29,4.55,4.46
5/01/2015 10:00,6.32,3.66,4.76,4.47
5/01/2015 11:00,6,3.48,4.53,3.95
5/01/2015 12:00,6.33,3.45,3.99,3.66
5/01/2015 13:00,7.23,2.96,3.75,3.87
5/01/2015 14:00,8.32,2.95,3.88,4.52
5/01/2015 15:00,9.06,3.53,4.22,5.37
5/01/2015 16:00,9.32,4.29,4.79,6.24
5/01/2015 17:00,9.03,5.24,5.8,6.78
5/01/2015 18:00,8.65,6.94,6.98,6.78
5/01/2015 19:00,8.43,8.09,7.29,6.34
5/01/2015 20:00,8.71,8.69,7.48,6.65
5/01/2015 21:00,8.92,8.42,7.65,6.9
5/01/2015 22:00,8.84,8.3,7.61,6.91
5/01/2015 23:00,8.44,8,7.2,6.7
6/01/2015 0:00,8.01,7.54,6.81,6.5
6/01/2015 1:00,7.7,7.05,6.42,6.34
6/01/2015 2:00,7.44,6.76,6.09,6.18
6/01/2015 3:00,7.18,6.13,5.82,6.07
6/01/2015 4:00,7,6.28,5.67,5.99
6/01/2015 5:00,6.72,5.91,5.42,5.73
6/01/2015 6:00,6.41,5.23,4.95,5.44
6/01/2015 7:00,5.52,3.33,4.33,4.21
6/01/2015 8:00,5.61,2.66,4.06,4.1
6/01/2015 9:00,5.64,2.04,3.58,3.79
6/01/2015 10:00,5.59,0.98,3.22,3.34
6/01/2015 11:00,5.93,0.31,2.84,2.87
6/01/2015 12:00,6.62,0.68,2.51,2.53
6/01/2015 13:00,7.46,1.28,2.29,2.59
6/01/2015 14:00,8.3,1.7,2.31,3.13
6/01/2015 15:00,8.96,1.96,2.46,3.81
